"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"BeModelMedicationRecordOrder","","","",0,*,"","","","","Medication Record Prescription logical model","","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelMedicationRecordOrder.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","The business identifier(s) for the medication prescription","The business identifier(s) for the medication prescription","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordOrder.identifier",0,1,"",""
"BeModelMedicationRecordOrder.patient","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","The person for which the medication is prescribed.","The person for which the medication is prescribed.","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordOrder.patient",1,1,"",""
"BeModelMedicationRecordOrder.status","","","",1,1,"","","","code {[]} {[]}
","active  | on-hold | cancelled | completed | entered-in-error | stopped | draft | unknown medicationrequest Status (Required)","active  | on-hold | cancelled | completed | entered-in-error | stopped | draft | unknown medicationrequest Status (Required)","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordOrder.status",1,1,"",""
"BeModelMedicationRecordOrder.statusReason","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason for current status medicationRequest Status Reason Codes (Example)","Reason for current status medicationRequest Status Reason Codes (Example)","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordOrder.statusReason",0,*,"",""
"BeModelMedicationRecordOrder.intent","","","",1,1,"","","","code {[]} {[]}
","proposal | plan | order | original-order | reflex-order | filler-order | instance-order | option  medicationRequest Intent (Required)","proposal | plan | order | original-order | reflex-order | filler-order | instance-order | option  medicationRequest Intent (Required)","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordOrder.intent",1,1,"",""
"BeModelMedicationRecordOrder.product[x]","","","",1,1,"","","","CodeableConcept {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Medication]]}","Medication to be taken SNOMED CT Medication Codes (Example)","Medication to be taken SNOMED CT Medication Codes (Example)","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordOrder.product[x]",1,1,"",""
"BeModelMedicationRecordOrder.encounter","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Encounter]]}
","Encounter created as part of encounter/admission/stay","Encounter created as part of encounter/admission/stay","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordOrder.encounter",0,1,"",""
"BeModelMedicationRecordOrder.requester","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner]]}
","Who/What requested the Request","Who/What requested the Request","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordOrder.requester",0,1,"",""
"BeModelMedicationRecordOrder.reason","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Condition], CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation]]}
","Reason or indication for ordering or not ordering the medication Condition/Problem/Diagnosis Codes (Example)","Reason or indication for ordering or not ordering the medication Condition/Problem/Diagnosis Codes (Example)","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordOrder.reason",0,*,"",""
"BeModelMedicationRecordOrder.groupIdentifier","","","",0,1,"","","","Identifier {[]} {[]}
","Composite request this is part of","Composite request this is part of","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordOrder.groupIdentifier",0,1,"",""
"BeModelMedicationRecordOrder.dosageInstruction","","","",0,*,"","","","Dosage {[]} {[]}
","How the medication should be taken","How the medication should be taken","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordOrder.dosageInstruction",0,*,"",""
"BeModelMedicationRecordOrder.note","","","",0,*,"","","","Annotation {[]} {[]}
","Additional Information about the prescription","Additional Information about the prescription","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordOrder.note",0,*,"",""
"BeModelMedicationRecordOrder.date","","","",0,1,"","","","dateTime {[]} {[]}
","When request was initially made","When request was initially made","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordOrder.date",0,1,"",""
"BeModelMedicationRecordOrder.location","","","",0,1,"","","","string {[]} {[]}
","Where the request was initially made","Where the request was initially made","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordOrder.location",0,1,"",""
"BeModelMedicationRecordOrder.treatment","","","",0,1,"","","","Reference {[]} {[]}
","Link to the 'parent' treatment - i.e the treatment that this order is derived from, or contriburing to","Link to the 'parent' treatment - i.e the treatment that this order is derived from, or contriburing to","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordOrder.treatment",0,1,"",""
