"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"BeModelMedicationRecordPrescription","","","",0,*,"","","","","Medication Record Prescription logical model","","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelMedicationRecordPrescription.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","The business identifier(s) for the medication dispense session","The business identifier(s) for the medication dispense session","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordPrescription.identifier",0,1,"",""
"BeModelMedicationRecordPrescription.patient","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","The person for which the medication is dispensed.","The person for which the medication is dispensed.","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordPrescription.patient",1,1,"",""
"BeModelMedicationRecordPrescription.status","","","",1,1,"","","","code {[]} {[]}
","active  | on-hold | cancelled | completed | entered-in-error | stopped | draft | unknown medicationrequest Status (Required)","active  | on-hold | cancelled | completed | entered-in-error | stopped | draft | unknown medicationrequest Status (Required)","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordPrescription.status",1,1,"",""
"BeModelMedicationRecordPrescription.statusReason","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason for current status medicationRequest Status Reason Codes (Example)","Reason for current status medicationRequest Status Reason Codes (Example)","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordPrescription.statusReason",0,*,"",""
"BeModelMedicationRecordPrescription.intent","","","",1,1,"","","","code {[]} {[]}
","proposal | plan | order | original-order | reflex-order | filler-order | instance-order | option  medicationRequest Intent (Required)","proposal | plan | order | original-order | reflex-order | filler-order | instance-order | option  medicationRequest Intent (Required)","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordPrescription.intent",1,1,"",""
"BeModelMedicationRecordPrescription.product[x]","","","",1,1,"","","","CodeableConcept {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Medication]]}","Medication to be taken SNOMED CT Medication Codes (Example)","Medication to be taken SNOMED CT Medication Codes (Example)","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordPrescription.product[x]",1,1,"",""
"BeModelMedicationRecordPrescription.encounter","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Encounter]]}
","Encounter created as part of encounter/admission/stay","Encounter created as part of encounter/admission/stay","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordPrescription.encounter",0,1,"",""
"BeModelMedicationRecordPrescription.requester","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner]]}
","Who/What requested the Request","Who/What requested the Request","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordPrescription.requester",0,1,"",""
"BeModelMedicationRecordPrescription.reason","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Condition], CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation]]}
","Reason or indication for ordering or not ordering the medication Condition/Problem/Diagnosis Codes (Example)","Reason or indication for ordering or not ordering the medication Condition/Problem/Diagnosis Codes (Example)","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordPrescription.reason",0,*,"",""
"BeModelMedicationRecordPrescription.groupIdentifier","","","",0,1,"","","","Identifier {[]} {[]}
","Composite request this is part of","Composite request this is part of","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordPrescription.groupIdentifier",0,1,"",""
"BeModelMedicationRecordPrescription.dosageInstruction","","","",0,*,"","","","Dosage {[]} {[]}
","How the medication should be taken","How the medication should be taken","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordPrescription.dosageInstruction",0,*,"",""
"BeModelMedicationRecordPrescription.note","","","",0,*,"","","","Annotation {[]} {[]}
","Additional Information about the prescription","Additional Information about the prescription","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordPrescription.note",0,*,"",""
"BeModelMedicationRecordPrescription.date","","","",0,1,"","","","dateTime {[]} {[]}
","When request was initially made","When request was initially made","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordPrescription.date",0,1,"",""
"BeModelMedicationRecordPrescription.location","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordPrescription.location",0,1,"",""
"BeModelMedicationRecordPrescription.treatment","","","",0,1,"","","","Reference {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordPrescription.treatment",0,1,"",""
