"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"BeModelMedicationRecordAdministration","","","",0,*,"","","","","Medication Record Administration logical model","","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelMedicationRecordAdministration.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","External identifier","External identifier","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.identifier",0,*,"",""
"BeModelMedicationRecordAdministration.status","","","",1,1,"","","","code {[]} {[]}
","in-progress | not-done | on-hold | completed | entered-in-error | stopped | unknown MedicationAdministration Status Codes (Required)","in-progress | not-done | on-hold | completed | entered-in-error | stopped | unknown MedicationAdministration Status Codes (Required)","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.status",1,1,"",""
"BeModelMedicationRecordAdministration.statusReason","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason administration not performed SNOMED CT Reason Medication Not Given Codes (Example)","Reason administration not performed SNOMED CT Reason Medication Not Given Codes (Example)","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.statusReason",0,*,"",""
"BeModelMedicationRecordAdministration.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Type of medication administration MedicationAdministration Location Codes (Example)","Type of medication administration MedicationAdministration Location Codes (Example)","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.category",0,*,"",""
"BeModelMedicationRecordAdministration.product","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Medication]]}
","What was administered SNOMED CT Medication Codes (Example)","What was administered SNOMED CT Medication Codes (Example)","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.product",1,1,"",""
"BeModelMedicationRecordAdministration.subject","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","Who received medication","Who received medication","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.subject",1,1,"",""
"BeModelMedicationRecordAdministration.encounter","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Encounter]]}
","Encounter administered as part of","Encounter administered as part of","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.encounter",0,1,"",""
"BeModelMedicationRecordAdministration.occurence[x]","","","",1,1,"","","","dateTime {[]} {[]}
Period {[]} {[]}","Start and end time of administration","Start and end time of administration","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.occurence[x]",1,1,"",""
"BeModelMedicationRecordAdministration.recorded","","","",0,1,"","","","dateTime {[]} {[]}
","When the MedicationAdministration was first captured in the subject's record","When the MedicationAdministration was first captured in the subject's record","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.recorded",0,1,"",""
"BeModelMedicationRecordAdministration.performer","","","",0,*,"","","","BackboneElement {[]} {[]}
","Who performed the medication administration and what they did","Who performed the medication administration and what they did","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.performer",0,*,"",""
"BeModelMedicationRecordAdministration.performer.function","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type of performance MedicationAdministration Performer Function Codes (Example)","Type of performance MedicationAdministration Performer Function Codes (Example)","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.performer.function",0,1,"",""
"BeModelMedicationRecordAdministration.performer.actor","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device]]}
","Who performed the medication administration","Who performed the medication administration","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.performer.actor",1,1,"",""
"BeModelMedicationRecordAdministration.reason","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Condition], CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation], CanonicalType[http://hl7.org/fhir/StructureDefinition/DiagnosticReport]]}
","Concept, condition or observation that supports why the medication was administered Reason Medication Given Codes (Example)","Concept, condition or observation that supports why the medication was administered Reason Medication Given Codes (Example)","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.reason",0,*,"",""
"BeModelMedicationRecordAdministration.prescription","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationRequest]]}
","Request administration performed against","Request administration performed against","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.prescription",0,1,"",""
"BeModelMedicationRecordAdministration.device","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Device]]}
","Device used to administer","Device used to administer","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.device",0,*,"",""
"BeModelMedicationRecordAdministration.note","","","",0,*,"","","","Annotation {[]} {[]}
","Information about the administration","Information about the administration","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.note",0,*,"",""
"BeModelMedicationRecordAdministration.dosage","","","",0,1,"","","","BackboneElement {[]} {[]}
","Details of how medication was taken + Rule: If dosage attribute is present then SHALL have at least one of dosage.text or dosage.dose or dosage.rate[x]","Details of how medication was taken + Rule: If dosage attribute is present then SHALL have at least one of dosage.text or dosage.dose or dosage.rate[x]","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.dosage",0,1,"",""
"BeModelMedicationRecordAdministration.dosage.text","","","",0,1,"","","","string {[]} {[]}
","Free text dosage instructions e.g. SIG","Free text dosage instructions e.g. SIG","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.dosage.text",0,1,"",""
"BeModelMedicationRecordAdministration.dosage.site","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Body site administered to SNOMED CT Anatomical Structure for Administration Site Codes (Example)","Body site administered to SNOMED CT Anatomical Structure for Administration Site Codes (Example)","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.dosage.site",0,1,"",""
"BeModelMedicationRecordAdministration.dosage.route","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Path of substance into body SNOMED CT Route Codes (Example)","Path of substance into body SNOMED CT Route Codes (Example)","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.dosage.route",0,1,"",""
"BeModelMedicationRecordAdministration.dosage.method","","","",0,1,"","","","CodeableConcept {[]} {[]}
","How drug was administered SNOMED CT Administration Method Codes (Example)","How drug was administered SNOMED CT Administration Method Codes (Example)","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.dosage.method",0,1,"",""
"BeModelMedicationRecordAdministration.dosage.dose","","","",0,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Amount of medication per dose","Amount of medication per dose","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.dosage.dose",0,1,"",""
"BeModelMedicationRecordAdministration.dosage.dose.rate[x]","","","",0,1,"","","","Ratio {[]} {[]}
Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}","Dose quantity per unit of time","Dose quantity per unit of time","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.dosage.dose.rate[x]",0,1,"",""
"BeModelMedicationRecordAdministration.treatment","","","",0,1,"","","","Reference {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.treatment",0,1,"",""
"BeModelMedicationRecordAdministration.location","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"BeModelMedicationRecordAdministration.location",0,1,"",""
